S.No;GroupName;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
5;Administrativo VO - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Administrativo VO - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
7;Agencias Preferenciais Regional;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Agencias Preferenciais Regional,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
11;Associados Brasília;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Associados Brasília,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
12;Atendimento Caldas Novas;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Atendimento Caldas Novas,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
13;Atendimento Transporte;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Atendimento Transporte,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
14;Atendimento Transporte Logistica;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Atendimento Transporte Logistica,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
15;Atendimento Transporte Onibus;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Atendimento Transporte Onibus,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
16;atendimentomarketing;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=atendimentomarketing,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
18;Back Grupos;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Back Grupos,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
105;Cadastro Newsletter;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Cadastro Newsletter,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
106;Caldas Novas;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Caldas Novas,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
107;Caprioli;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Caprioli,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
108;Central de Atendimento dos Flats;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Central de Atendimento dos Flats,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
109;Central de Grupos e Eventos;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Central de Grupos e Eventos,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
110;Central de Suprimentos;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Central de Suprimentos,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
113;Comitê 5S - Costa do Sauipe;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Comitê 5S - Costa do Sauipe,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
114;Comitê de Controle Shopping;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Comitê de Controle Shopping,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
115;Comitê de Endomarketing;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Comitê de Endomarketing,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
117;Comunicacao Supply;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Comunicacao Supply,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
121;Conselho Administração Aviva;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Conselho Administração Aviva,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
124;Consultoriarqvc;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=Consultoriarqvc,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
125;controladoriareservasespeciais;-;Distribution;Universal;aviva.com.br;Grupos de Distribuicao - Correio de Email;CN=controladoriareservasespeciais,OU=Grupos de Distribuicao - Correio de Email,DC=aviva,DC=com,DC=br
