S.No;Group Name;Members;Group Type;Group Scope;Domain Name;OU Name;Distinguished Name
3;AD-BIAdministrators;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos;CN=AD-BIAdministrators,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
4;AD-RQVC-BIAuthor;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos;CN=AD-RQVC-BIAuthor,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
6;AdminSegurancaTrabalho;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos;CN=AdminSegurancaTrabalho,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
9;almox - Leitura e Gravacao;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos/FS Antigo;CN=almox - Leitura e Gravacao,OU=FS Antigo,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
10;APPSENSE;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos;CN=APPSENSE,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
17;auditorias - Leitura e Gravacao;Security;Security;Global;aviva.com.br;Unidade Rio Quente/Grupos/FS Antigo;CN=auditorias - Leitura e Gravacao,OU=FS Antigo,OU=Grupos,OU=Unidade Rio Quente,DC=aviva,DC=com,DC=br
20;BRBAFS01_ADM_SEGURANCA_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_ADM_SEGURANCA_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
21;BRBAFS01_Asset_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Asset_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
22;BRBAFS01_AuditoriaInterna_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_AuditoriaInterna_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
23;BRBAFS01_ComiteExecutivo_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_ComiteExecutivo_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
24;BRBAFS01_ComiteOperacoes_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_ComiteOperacoes_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
25;BRBAFS01_ComunicacaoInterna_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_ComunicacaoInterna_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
26;BRBAFS01_Contabilidade_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Contabilidade_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
27;BRBAFS01_ControledeNotasFiscaisSP_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_ControledeNotasFiscaisSP_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
28;BRBAFS01_CSI_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_CSI_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
29;BRBAFS01_Diretoria_A&B_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Diretoria_A&B_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
30;BRBAFS01_DiretoriaFinanceira_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_DiretoriaFinanceira_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
31;BRBAFS01_DiretoriaFinanceira_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_DiretoriaFinanceira_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
32;BRBAFS01_Direx_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Direx_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
33;BRBAFS01_Documentacao_RW;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Documentacao_RW,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
34;BRBAFS01_Documentos_Internos_RO;Security;Security;Global;aviva.com.br;Unidade Costa do Sauipe/Grupos/Security/FS Legado;CN=BRBAFS01_Documentos_Internos_RO,OU=FS Legado,OU=Security,OU=Grupos,OU=Unidade Costa do Sauipe,DC=aviva,DC=com,DC=br
